dataset_id,model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean
business_intent,multinomial_nb,1.0,0.0,1.0,0.0,1.0
business_intent,complement_nb,1.0,0.0,1.0,0.0,1.0
business_intent,logistic_regression,1.0,0.0,1.0,0.0,1.0
business_intent,linear_svc,1.0,0.0,1.0,0.0,1.0
business_intent,knn,1.0,0.0,1.0,0.0,1.0
business_intent,dummy_majority,0.265625,0.0,0.06995884773662552,0.0,0.11149691358024691
enron_spam,multinomial_nb,1.0,0.0,1.0,0.0,1.0
enron_spam,complement_nb,1.0,0.0,1.0,0.0,1.0
enron_spam,logistic_regression,1.0,0.0,1.0,0.0,1.0
enron_spam,linear_svc,1.0,0.0,1.0,0.0,1.0
enron_spam,knn,1.0,0.0,1.0,0.0,1.0
enron_spam,dummy_majority,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333
spamassassin,multinomial_nb,1.0,0.0,1.0,0.0,1.0
spamassassin,complement_nb,1.0,0.0,1.0,0.0,1.0
spamassassin,logistic_regression,1.0,0.0,1.0,0.0,1.0
spamassassin,linear_svc,1.0,0.0,1.0,0.0,1.0
spamassassin,knn,1.0,0.0,1.0,0.0,1.0
spamassassin,dummy_majority,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333
