customer_id,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Lifestyle,Price_Sensitivity,Brand_Consciousness,Technology_Affinity,Purchase_Frequency,Average_Order_Value,Total_Spending,Recency,Discount_Usage,Campaign_Response,Engagement_Score,Segmentation
CUST_00001,Male,Yes,34,No,Engineer,6.0,High,2.0,Cat_6,Active,Low,High,Medium,12.2,144.7,1765.9,10.1,27.3,1,69.6,B
CUST_00002,Female,Yes,60,Yes,Artist,,Low,1.0,Cat_6,Budget,Very High,Low,Low,3.7,81.2,304.2,16.0,12.5,0,29.4,D
CUST_00003,Male,No,38,Yes,Healthcare,5.0,Low,2.0,Cat_7,Casual,High,Low,Low,8.0,51.2,409.6,15.2,30.2,0,61.0,C
CUST_00004,Female,Yes,48,Yes,Artist,1.0,Average,5.0,Cat_6,Active,High,High,Medium,12.2,161.5,1971.9,6.1,22.3,1,70.7,B
CUST_00005,Female,Yes,48,Yes,Executive,2.0,High,3.0,Cat_6,Luxury,Low,Very High,High,15.8,196.7,3111.2,8.2,11.6,1,85.5,A
CUST_00006,Male,No,51,Yes,Executive,10.0,Average,1.0,Cat_4,Luxury,Low,High,Very High,7.4,319.3,2367.7,6.1,19.6,1,100.0,A
CUST_00007,Male,No,55,Yes,Executive,15.0,Average,3.0,Cat_6,Active,Medium,Very High,Very High,11.3,345.8,3898.8,7.3,19.8,1,86.1,A
CUST_00008,Female,No,46,No,Artist,0.0,Low,1.0,Cat_6,Casual,High,Low,Low,4.8,53.3,255.0,31.0,5.0,1,26.8,D
CUST_00009,Male,Yes,33,Yes,Healthcare,0.0,Low,3.0,Cat_7,Eco-conscious,High,Low,High,6.7,107.8,721.0,15.7,38.1,0,69.0,C
CUST_00010,Male,Yes,36,No,Artist,3.0,Average,3.0,,Casual,High,Medium,Low,8.0,109.2,869.5,15.0,57.5,1,49.8,C
CUST_00011,Female,Yes,60,Yes,Engineer,4.0,High,1.0,Cat_6,Luxury,Low,Very High,Very High,18.9,252.7,4775.2,5.9,19.8,1,89.7,A
CUST_00012,Female,Yes,75,No,Homemaker,0.0,Low,3.0,Cat_6,Budget,Very High,Low,Low,5.1,59.6,304.5,39.8,20.0,1,32.1,D
CUST_00013,Male,No,31,No,Artist,1.0,Average,2.0,Cat_1,Casual,Very High,Low,Low,7.7,72.0,556.2,18.5,48.1,1,57.8,C
CUST_00014,Male,No,37,Yes,Executive,5.0,Average,1.0,Cat_6,Luxury,Medium,Very High,Medium,16.0,220.2,3519.9,6.0,14.5,1,95.8,A
CUST_00015,Female,Yes,51,Yes,Executive,5.0,High,2.0,Cat_6,Luxury,Low,High,Very High,13.0,297.8,3858.0,6.9,21.4,1,68.6,A
CUST_00016,Male,No,44,Yes,Artist,9.0,Average,1.0,Cat_6,Casual,Low,Very High,Very High,18.3,249.6,4574.4,2.3,11.0,1,89.2,A
