customer_id,Segmentation,split
CUST_03600,C,train
CUST_02543,C,train
CUST_04188,B,train
CUST_04995,A,train
CUST_03572,B,train
CUST_03418,C,train
CUST_02871,D,train
CUST_04703,C,train
CUST_00227,D,train
CUST_02523,B,train
CUST_03476,C,train
CUST_01245,C,train
CUST_02084,D,train
CUST_04044,C,train
CUST_02658,C,train
CUST_04104,A,train
CUST_02463,C,train
CUST_03707,C,train
CUST_02272,B,train
CUST_00087,C,train
CUST_00556,B,train
CUST_04182,C,train
CUST_04664,C,train
CUST_03791,A,train
CUST_02090,B,train
CUST_00103,B,train
CUST_02775,B,train
CUST_00705,A,train
CUST_03680,B,train
CUST_03950,A,train
CUST_00966,B,train
CUST_04220,A,train
CUST_01129,B,train
CUST_00158,C,train
CUST_01832,C,train
CUST_04417,B,train
CUST_02288,B,train
CUST_02040,A,train
CUST_02733,A,train
CUST_00255,A,train
CUST_00747,B,train
CUST_02510,D,train
CUST_01536,A,train
CUST_04596,C,train
CUST_04618,D,train
CUST_02410,B,train
CUST_00119,D,train
CUST_02536,C,train
CUST_02563,A,train
CUST_02155,A,train
CUST_01452,C,train
CUST_02942,C,train
CUST_02763,C,train
CUST_00468,D,train
CUST_00083,B,train
CUST_02625,B,train
CUST_02190,C,train
CUST_01238,B,train
CUST_00245,A,train
CUST_02580,C,train
CUST_00389,C,train
CUST_03086,C,train
CUST_02148,B,train
CUST_00715,B,train
CUST_01078,C,train
CUST_03380,C,train
CUST_02837,D,train
CUST_04276,B,train
CUST_04108,A,train
CUST_04837,B,train
CUST_00839,B,train
CUST_02393,B,train
CUST_00917,B,train
CUST_01703,B,train
CUST_00192,D,train
CUST_02606,B,train
CUST_04068,D,train
CUST_01464,C,train
CUST_02550,A,train
CUST_02320,B,train
CUST_00820,B,train
CUST_03002,C,train
CUST_00443,B,train
CUST_04134,C,train
CUST_00215,C,train
CUST_02014,A,train
CUST_02505,A,train
CUST_01445,D,train
CUST_03157,D,train
CUST_00860,A,train
CUST_00636,B,train
CUST_04925,A,train
CUST_02914,D,train
CUST_02420,B,train
CUST_03252,A,train
CUST_00371,A,train
CUST_04577,B,train
CUST_02860,A,train
CUST_02815,B,train
CUST_02414,A,train
CUST_00885,C,train
CUST_01249,D,train
CUST_02189,C,train
CUST_02098,C,train
CUST_04482,B,train
CUST_04462,B,train
CUST_02996,D,train
CUST_02203,B,train
CUST_01973,B,train
CUST_01773,D,train
CUST_03828,B,train
CUST_02916,C,train
CUST_02764,B,train
CUST_04982,A,train
CUST_02147,B,train
CUST_03701,C,train
CUST_01911,B,train
CUST_02718,D,train
CUST_04524,B,train
CUST_02233,D,train
CUST_01880,B,train
CUST_04568,A,train
CUST_00146,A,train
CUST_03676,B,train
CUST_02363,B,train
CUST_04305,C,train
CUST_02497,B,train
CUST_03933,C,train
CUST_04186,C,train
CUST_03710,D,train
CUST_04260,B,train
CUST_00474,D,train
CUST_01496,C,train
CUST_00228,B,train
CUST_01768,B,train
CUST_00768,D,train
CUST_03382,B,train
CUST_02682,C,train
CUST_02433,D,train
CUST_00368,D,train
CUST_01900,C,train
CUST_02335,A,train
CUST_00911,B,train
CUST_04799,A,train
CUST_02413,B,train
CUST_04061,B,train
CUST_03064,C,train
CUST_04144,C,train
CUST_00998,A,train
CUST_01802,C,train
CUST_04609,D,train
CUST_04423,B,train
CUST_01441,D,train
CUST_03827,B,train
CUST_04553,A,train
CUST_02769,B,train
CUST_01833,B,train
CUST_00640,B,train
CUST_03619,C,train
CUST_03512,A,train
CUST_00500,D,train
CUST_01222,A,train
CUST_00184,D,train
CUST_01836,C,train
CUST_02038,A,train
CUST_02340,B,train
