feature,dtype,missing_count,missing_pct,unique_count
Gender,str,0,0.0,2
Ever_Married,str,0,0.0,2
Age,int64,0,0.0,67
Graduated,str,0,0.0,2
Profession,str,0,0.0,9
Work_Experience,float64,228,4.56,16
Family_Size,float64,229,4.58,8
Var_1,str,242,4.84,7
Spending_Score,str,0,0.0,3
Lifestyle,str,229,4.58,5
Price_Sensitivity,str,0,0.0,4
Brand_Consciousness,str,0,0.0,5
Technology_Affinity,str,0,0.0,5
Purchase_Frequency,float64,0,0.0,236
Average_Order_Value,float64,0,0.0,2483
Total_Spending,float64,0,0.0,4718
Recency,float64,0,0.0,501
Discount_Usage,float64,0,0.0,663
Campaign_Response,int64,0,0.0,2
Engagement_Score,float64,198,3.96,880
Segmentation,str,0,0.0,4
