fold,train_size,AR_MAE,AR_RMSE,ARIMA_MAE,ARIMA_RMSE
1,211,46.9791,48.4159,23.2974,28.1772
2,215,22.7807,28.8662,15.0,15.5951
3,219,44.4573,45.0106,26.7524,27.2432
4,223,10.2344,13.7593,11.3053,12.7052
5,227,44.1607,47.8488,23.3268,28.3072
6,231,44.6998,46.5199,29.4154,31.2972
7,235,42.7369,44.0458,28.0522,30.9746
8,239,127.501,221.483,124.25,216.5516
9,243,30.7242,41.8523,48.715,51.9293
10,247,14.2306,17.9613,40.2295,42.8147
11,251,23.518,26.0594,10.3813,11.9484
12,255,6.0555,6.5572,13.355,14.6644
13,259,33.7615,44.1402,31.1662,49.6737
14,263,29.7878,34.7511,17.6835,20.001
15,267,12.748,17.4261,9.25,11.7039
16,271,22.8411,32.0408,16.0571,25.4358
17,275,15.8843,22.8921,17.6014,21.3377
18,279,26.7103,28.7858,14.2351,16.862
19,283,40.2398,48.1535,36.9605,43.6276
20,287,18.1152,22.9023,21.5,23.7234
21,291,85.1207,140.1639,73.6201,131.3298
22,295,26.5301,36.5363,24.2277,27.6847
