"date","district","primary_type","arrest","domestic","case_number"
"2018-01-01T00:00:00.000","001","BATTERY","false","true","JB100524"
"2018-01-01T00:00:00.000","001","OFFENSE INVOLVING CHILDREN","false","true","JH109278"
"2018-01-01T00:00:00.000","001","ASSAULT","false","false","JB222786"
"2018-01-01T00:00:00.000","001","THEFT","false","false","JB108247"
"2018-01-01T00:00:00.000","001","CRIMINAL TRESPASS","false","false","JF139949"
"2018-01-01T00:01:00.000","001","THEFT","false","false","JC551098"
"2018-01-01T00:01:00.000","001","OFFENSE INVOLVING CHILDREN","false","true","JB202992"
"2018-01-01T00:01:00.000","001","OFFENSE INVOLVING CHILDREN","false","false","JB259197"
"2018-01-01T00:01:00.000","001","DECEPTIVE PRACTICE","false","false","JC405598"
"2018-01-01T00:30:00.000","001","THEFT","false","false","JB101033"
"2018-01-01T00:43:00.000","001","CRIMINAL DAMAGE","false","false","JB100051"
"2018-01-01T01:17:00.000","001","DECEPTIVE PRACTICE","false","false","JB101286"
"2018-01-01T01:31:00.000","001","BATTERY","false","false","JB100125"
"2018-01-01T01:44:00.000","001","BATTERY","false","false","JB100109"
"2018-01-01T02:30:00.000","001","BATTERY","false","true","JB100202"
"2018-01-01T02:42:00.000","001","BATTERY","false","true","JB100218"
"2018-01-01T03:00:00.000","001","BATTERY","false","false","JB173539"
"2018-01-01T03:00:00.000","001","THEFT","false","false","JB100669"
"2018-01-01T04:46:00.000","001","WEAPONS VIOLATION","true","false","JB100285"
"2018-01-01T05:00:00.000","001","BATTERY","false","false","JB100311"
"2018-01-01T06:00:00.000","001","BATTERY","true","true","JB100317"
"2018-01-01T06:40:00.000","001","MOTOR VEHICLE THEFT","false","false","JB100325"
"2018-01-01T09:00:00.000","001","THEFT","false","false","JB102959"
"2018-01-01T09:00:00.000","001","BATTERY","false","false","JB174414"
"2018-01-01T11:00:00.000","001","THEFT","false","false","JB102143"
"2018-01-01T11:00:00.000","001","THEFT","false","false","JB101540"
"2018-01-01T12:00:00.000","001","CRIMINAL TRESPASS","false","false","JC331726"
"2018-01-01T12:53:00.000","001","BURGLARY","false","false","JB100613"
"2018-01-01T13:38:00.000","001","THEFT","false","false","JB100647"
"2018-01-01T14:05:00.000","001","CRIMINAL TRESPASS","false","false","JB100672"
"2018-01-01T15:15:00.000","001","ASSAULT","false","false","JB100697"
"2018-01-01T15:45:00.000","001","CRIMINAL DAMAGE","false","false","JB103835"
"2018-01-01T15:51:00.000","001","THEFT","false","false","JB100775"
"2018-01-01T16:45:00.000","001","THEFT","true","false","JB100873"
"2018-01-01T17:50:00.000","001","MOTOR VEHICLE THEFT","false","false","JB100909"
"2018-01-01T18:00:00.000","001","ROBBERY","false","false","JB100932"
"2018-01-01T18:05:00.000","001","BATTERY","false","true","JB100956"
"2018-01-01T19:00:00.000","001","OTHER OFFENSE","false","true","JB155453"
"2018-01-01T20:00:00.000","001","THEFT","false","false","JB106750"
"2018-01-01T20:00:00.000","001","THEFT","false","false","JB101110"
"2018-01-01T20:30:00.000","001","THEFT","false","false","JB103999"
"2018-01-01T20:52:00.000","001","BATTERY","false","false","JB101054"
"2018-01-01T21:30:00.000","001","DECEPTIVE PRACTICE","false","false","JB227725"
"2018-01-01T22:50:00.000","001","MOTOR VEHICLE THEFT","false","false","JB101135"
"2018-01-01T23:00:00.000","001","THEFT","false","false","JB227459"
"2018-01-01T23:00:00.000","001","MOTOR VEHICLE THEFT","false","false","JB101502"
"2018-01-02T00:00:00.000","001","THEFT","false","false","JB107792"
"2018-01-02T02:05:00.000","001","MOTOR VEHICLE THEFT","false","false","JB101180"
"2018-01-02T03:45:00.000","001","ROBBERY","false","false","JB101195"
"2018-01-02T05:18:00.000","001","BATTERY","false","false","JB101206"
"2018-01-02T05:50:00.000","001","ROBBERY","false","false","JB101213"
"2018-01-02T06:00:00.000","001","THEFT","false","false","JB102136"
"2018-01-02T07:30:00.000","001","THEFT","false","false","JB101317"
"2018-01-02T09:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB101362"
"2018-01-02T09:00:00.000","001","THEFT","true","false","JB101389"
"2018-01-02T09:30:00.000","001","OTHER OFFENSE","false","true","JB103296"
"2018-01-02T10:00:00.000","001","OTHER OFFENSE","false","false","JB167294"
