date,incidents
2018-01-01,46
2018-01-08,250
2018-01-15,283
2018-01-22,294
2018-01-29,301
2018-02-05,277
2018-02-12,244
2018-02-19,271
2018-02-26,292
2018-03-05,271
2018-03-12,280
2018-03-19,308
2018-03-26,266
2018-04-02,261
2018-04-09,283
2018-04-16,286
2018-04-23,309
2018-04-30,316
2018-05-07,335
2018-05-14,327
2018-05-21,298
2018-05-28,343
2018-06-04,371
2018-06-11,299
2018-06-18,304
2018-06-25,352
2018-07-02,342
2018-07-09,282
2018-07-16,342
2018-07-23,295
2018-07-30,324
2018-08-06,516
2018-08-13,327
2018-08-20,326
2018-08-27,300
2018-09-03,296
2018-09-10,284
2018-09-17,285
2018-09-24,322
2018-10-01,302
2018-10-08,267
2018-10-15,259
2018-10-22,308
2018-10-29,314
2018-11-05,268
2018-11-12,253
2018-11-19,285
2018-11-26,239
2018-12-03,296
2018-12-10,318
2018-12-17,337
2018-12-24,309
2018-12-31,261
2019-01-07,292
2019-01-14,255
2019-01-21,277
2019-01-28,284
2019-02-04,230
2019-02-11,268
2019-02-18,319
2019-02-25,288
2019-03-04,238
2019-03-11,271
2019-03-18,292
2019-03-25,249
2019-04-01,301
2019-04-08,303
2019-04-15,294
2019-04-22,273
2019-04-29,260
2019-05-06,290
2019-05-13,316
2019-05-20,350
2019-05-27,287
2019-06-03,302
2019-06-10,338
2019-06-17,293
2019-06-24,339
2019-07-01,351
2019-07-08,303
2019-07-15,320
2019-07-22,290
2019-07-29,310
2019-08-05,580
2019-08-12,278
2019-08-19,278
2019-08-26,275
2019-09-02,269
2019-09-09,287
2019-09-16,290
2019-09-23,289
2019-09-30,279
2019-10-07,273
2019-10-14,257
2019-10-21,311
2019-10-28,270
2019-11-04,320
2019-11-11,259
2019-11-18,277
2019-11-25,329
2019-12-02,245
2019-12-09,303
2019-12-16,312
2019-12-23,287
2019-12-30,234
2020-01-06,237
2020-01-13,240
2020-01-20,212
2020-01-27,262
2020-02-03,262
2020-02-10,227
2020-02-17,254
2020-02-24,233
2020-03-02,230
2020-03-09,206
2020-03-16,194
2020-03-23,116
2020-03-30,87
2020-04-06,101
2020-04-13,97
2020-04-20,76
